id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-05-19 02:42:50.31426,,,,,,f,,{},participant,19671d9967afb10abe2ef7d1e117ef7b,mturk,1,3R6BYFZZPAXTWEJSF30S2SD380SXF1,1:3R6BYFZZPAXTWEJSF30S2SD380SXF1,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 03:02:04.548113,,,replaced
3,2019-05-19 03:21:19.095428,,,,,,f,,{},participant,14b260ba190b08ee68f2787be5b3fae2,mturk,3,3R6BYFZZPAXTWEJSF30S2SD380SXF1,3:3R6BYFZZPAXTWEJSF30S2SD380SXF1,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,,,,working
2,2019-05-19 03:02:03.87599,,,,,,f,,{},participant,d1b73c94aaf2524cb3d6e25e3c909d26,mturk,2,3R6BYFZZPAXTWEJSF30S2SD380SXF1,2:3R6BYFZZPAXTWEJSF30S2SD380SXF1,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 03:21:19.114162,,,replaced
4,2019-05-19 05:27:17.341995,,,,,,f,,{},participant,39b2e036e132095912bd4d902ddad96a,mturk,4,3PDJHANYK810RVQ296F250CWRBI6HQ,4:3PDJHANYK810RVQ296F250CWRBI6HQ,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 05:38:00.512974,,,working
5,2019-05-19 06:18:25.650365,,,,,,f,,{},participant,987943cb0e493d8c91bbd383dda6bf78,mturk,5,3UOUJI6MTGZIFWGIASVROSE6INKUXA,5:3UOUJI6MTGZIFWGIASVROSE6INKUXA,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 06:24:29.292285,,,working
6,2019-05-19 08:37:11.915481,,,,,,f,,{},participant,7043cf40695ab4d29cb5aef2bb0e6934,mturk,6,3Z7ISHFUH3G9MU9K87I7PLCSTX48ZL,6:3Z7ISHFUH3G9MU9K87I7PLCSTX48ZL,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 08:42:08.608465,,,working
7,2019-05-19 10:21:28.9847,,,,,,f,,{},participant,87bd85fe3289d05e79a87f9ddf4df085,mturk,7,340UGXU9D1MQB7BNADU907HL2D4UV1,7:340UGXU9D1MQB7BNADU907HL2D4UV1,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 10:26:33.525881,,,working
8,2019-05-19 10:34:25.145237,,,,,,f,,{},participant,8d1ec3944aeb26704070ab8bd318fbce,mturk,8,3HRMW88U19BR5Y5YYEFYO4A1VVSM0D,8:3HRMW88U19BR5Y5YYEFYO4A1VVSM0D,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 10:44:24.449761,,,working
9,2019-05-19 10:56:55.527496,,,,,,f,,{},participant,516886cadb53a0432d4ba690bcff88c8,mturk,9,3DR23U6WE8ZU9JACFIFPV77XJ4YTE7,9:3DR23U6WE8ZU9JACFIFPV77XJ4YTE7,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 11:01:16.848157,,,working
10,2019-05-19 14:00:55.665289,,,,,,f,,{},participant,cc01251e19b407715e8536a32a79fbc1,mturk,10,3N2BF7Y2VTF2GYBUWMMJUW9IHDFMH2,10:3N2BF7Y2VTF2GYBUWMMJUW9IHDFMH2,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 14:05:30.244355,,,working
12,2019-05-19 14:42:27.825756,,,,,,f,,{},participant,145b98fd580424babaa6cc755149bcce,mturk,12,3TGOYF99107QYSMN5NK44LF2O7PUU8,12:3TGOYF99107QYSMN5NK44LF2O7PUU8,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,,,,working
11,2019-05-19 14:15:45.142423,,,,,,f,,{},participant,f65123c2d13b10b80eb3a41949c2c561,mturk,11,3TGOYF99107QYSMN5NK44LF2O7PUU8,11:3TGOYF99107QYSMN5NK44LF2O7PUU8,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 14:42:27.838869,,,replaced
13,2019-05-19 14:48:08.031886,,,,,,f,,{},participant,ea06d1f9f48c4fc91b3dd08fd45463ef,mturk,13,3J2UYBXQQOXPGVK6BY8HZ8DF5W960L,13:3J2UYBXQQOXPGVK6BY8HZ8DF5W960L,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 14:57:15.331063,,,working
14,2019-05-19 15:25:40.711165,,,,,,f,,{},participant,adbc9aef0233b800f464b6b18f075d08,mturk,14,373ERPL3YRTJINFH1OZPUE6GYUMTRK,14:373ERPL3YRTJINFH1OZPUE6GYUMTRK,3RHLQY6EDVP2D8JSEKYVTXIY8WLD43,live,2019-05-19 15:29:17.372192,,,working
